Name,SKU,Stock,Retail Price,Discounted Price,image_url,Website Link,image_id,image_filename,image_exists
Fancy Work Saree - QS214034,QS214034,0,10995,10045,https://byrappasilk.in/storage/uploads/mI2WguinXBBCzp9xYnY4kP1lRb1yD0tFkku0nzLc.webp,https://byrappasilks.in/shop/fancy_work_saree_qs214034_1749102444,32,000032.webp,True
Fancy Work Saree - QS214033,QS214033,0,8695,7940,https://byrappasilk.in/storage/uploads/nmesha9Ryn8rbHOMSAlu2trmUwaLlkwXoeVveVsS.webp,https://byrappasilks.in/shop/fancy_work_saree_qs214033_1749102235,33,000033.webp,True
Satin Printed Aditya Birla Fabric - White & Black Colour - QS213523,QS213523,0,4900,2573,https://byrappasilk.in/storage/uploads/0QL4gpjy33U3uH24jdVsDw7UzudabXNAFIVNKYAO.webp,https://byrappasilks.in/shop/satin_printed_aditya_birla_fabric_white_black_colour_qs213523_1764335197,34,000034.webp,True
Satin Printed Aditya Birla Fabric  - White & Black Colour - QS213579,QS213579,2,4900,2573,https://byrappasilk.in/storage/uploads/sfg0tNLNPzgXVAtt7bzbgWv0wYp7tmJeAwtaF2Xa.webp,https://byrappasilks.in/shop/satin_printed_aditya_birla_fabric_white_black_colour_qs213579_1764335035,35,000035.webp,True
Satin Printed Aditya Birla Fabric  - White & Black Colour - QS213587,QS213587,1,4900,2573,https://byrappasilk.in/storage/uploads/DCuwM6jF2XZCAZfxEJogCMBdzYRa1eOXKJ7dDIAm.webp,https://byrappasilks.in/shop/satin_printed_aditya_birla_fabric_white_black_colour_qs213587_1764335077,36,000036.webp,True
Satin Printed (Aditya Birla Fabric) - White & Black Colour - QS213527,QS213527,2,4900,2573,https://byrappasilk.in/storage/uploads/IxQilcX5rH4BraSGWNCJNSX83IhRSwResXEW0JdY.webp,https://byrappasilks.in/shop/satin_printed_aditya_birla_fabric_white_black_colour_qs213527_1749390935,37,000037.webp,True
Satin Printed Aditya Birla Fabric  - White & Black Colour - QS213580,QS213580,1,3995,3650,https://byrappasilk.in/storage/uploads/Zx1UD5BooqUNgx6d8nihQzt7t1rxIalFKbozBfcB.webp,https://byrappasilks.in/shop/satin_printed_aditya_birla_fabric_white_black_colour_qs213580_1764335060,38,000038.webp,True
Satin Printed Aditya Birla Fabric - White & Black Colour - QS213525,QS213525,0,4900,2573,https://byrappasilk.in/storage/uploads/IoFOWGGSbxl7BkITtqGYGCpr5zXKJUC0HgIu8LDG.webp,https://byrappasilks.in/shop/satin_printed_aditya_birla_fabric_white_black_colour_qs213525_1764335220,39,000039.webp,True
Satin Printed (Aditya Birla Fabric) - White & Black Colour - QS213529,QS213529,0,4900,2573,https://byrappasilk.in/storage/uploads/nvIXxpWcGCjHgfNm5egKFF5hHN9QB4jaQuMJOavo.webp,https://byrappasilks.in/shop/satin_printed_aditya_birla_fabric_white_black_colour_qs213529_1749390729,40,000040.webp,True
Ajrakh Printed Sarees -Black Colour - QS215164,QS215164,0,1395,995,https://byrappasilk.in/storage/uploads/Bf0p9ygZ7DWkMhT7wMfTFzW0Jo0TczDu22DI6CPl.webp,https://byrappasilks.in/shop/ajrakh_printed_sarees_black_colour_qs215164_1767694131,41,000041.webp,True
Ajrakh Printed Sarees - Maroon Colour - QS215442,QS215442,0,1395,995,https://byrappasilk.in/storage/uploads/V8gXeBsiZPqnunFXi1E8zY41q0DW9XJx9aj0PscX.webp,https://byrappasilks.in/shop/ajrakh_printed_sarees_maroon_colour_qs215442_1767692820,42,000042.webp,True
